	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G05180	762	917	802	868	787	1150
AT1G05190	1729	1428	1623	1045	1167	1076
AT1G05200	813	904	715	528	510	602
AT1G04343	167	187	163	128	116	119
AT1G05205	349	404	340	317	307	384
AT1G04347	181	203	158	157	146	163
AT1G05210	49	52	55	53	40	48
AT1G05220	14	7	6	3	3	8
AT1G04353	208	265	227	266	209	316
AT1G05230	459	616	560	529	451	678
AT1G05240	206	120	83	112	108	103
AT1G04357	34	43	31	25	16	40
AT1G04363	33	35	27	19	12	36
AT1G04367	5	18	13	16	5	14
AT1G05250	205	124	84	118	109	108
AT1G05260	159	113	116	65	70	101
AT1G05270	617	861	660	557	460	777
AT1G05280	5	0	2	3	10	5
AT1G04373	0	0	0	0	0	0
AT1G05290	0	0	0	0	0	0
AT1G05291	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0
AT1G04383	0	0	0	0	0	0
AT1G04387	0	0	0	0	0	0
AT1G05300	673	329	257	107	117	226
AT1G05310	19	31	23	11	6	16
AT1G05320	634	529	576	382	327	532
AT1G05330	12	11	10	1	4	5
AT1G05340	365	283	242	76	67	133
AT1G05350	616	675	577	685	589	884
AT1G05360	227	228	198	109	93	156
AT1G05370	34	41	30	18	33	29
AT1G05380	1329	1601	1147	1162	1285	1899
AT1G05385	90	90	98	76	65	70
AT1G05390	0	0	0	0	0	0
AT1G05400	42	30	43	31	37	48
AT1G05410	341	382	308	401	369	553
AT1G05420	13	14	18	15	19	17
AT1G05430	690	748	626	505	434	665
AT1G05440	14	19	22	11	12	21
AT1G05450	22	15	10	5	12	4
AT1G05460	293	358	296	261	271	276
AT1G05470	156	178	155	168	177	187
AT1G05490	74	133	84	68	53	94
AT1G05500	1010	1302	1008	765	736	1114
AT1G05510	12	11	5	13	13	15
AT1G05520	1378	1873	1362	1353	1217	2087
AT1G05530	3	6	8	10	18	8
AT1G05540	26	35	43	26	25	39
AT1G05550	3	2	2	4	1	5
AT1G05562	1787	1022	1515	5459	6008	6291
AT1G05560	1787	1022	1515	5459	6008	6291
AT1G05570	3651	5214	3742	2300	1985	3559
AT1G04393	11	7	22	3	2	10
AT1G04397	1	0	0	0	0	2
AT1G05575	65	53	48	295	299	381
AT1G05577	2	7	4	2	9	2
AT1G05580	0	0	0	0	0	0
AT1G05590	362	491	356	179	171	227
AT1G05600	113	127	89	70	99	93
AT1G05610	4	6	4	4	4	7
AT1G05615	0	0	0	0	1	0
AT1G05620	337	391	284	230	239	477
AT1G05630	842	1227	1038	577	567	662
AT1G05640	100	153	104	76	78	92
AT1G05650	3	1	3	1	2	1
AT1G04403	0	0	0	0	0	0
AT1G05660	0	3	1	0	0	0
AT1G05670	123	136	107	191	225	297
AT1G05675	331	81	121	490	706	1111
AT1G05680	648	204	164	1452	2157	4022
AT1G05690	147	132	114	76	67	119
AT1G05700	261	55	42	21	27	77
AT1G04407	0	0	0	0	0	0
AT1G05710	271	259	243	145	174	283
AT1G05720	808	950	709	492	479	675
AT1G04413	208	221	191	125	116	181
AT1G05730	355	402	293	234	234	313
AT1G04417	0	1	0	0	2	1
AT1G05740	1	1	0	1	4	7
AT1G05750	139	215	150	140	180	191
AT1G05760	49	80	51	61	59	63
AT1G05770	15	5	8	5	8	6
AT1G05780	102	139	106	101	109	118
AT1G04423	4	3	2	2	4	4
AT1G05783	27	31	17	17	19	30
AT1G04427	14	22	10	15	10	23
AT1G05785	175	195	149	120	121	171
AT1G05790	736	903	712	455	451	621
AT1G05800	0	0	0	0	0	0
AT1G05805	1038	943	818	510	332	594
AT1G05810	206	198	193	136	107	147
AT1G05820	51	59	51	40	32	41
AT1G05830	867	1000	850	789	960	1166
AT1G05835	120	135	135	89	79	103
AT1G04433	101	118	122	84	73	90
AT1G05840	803	921	800	500	495	703
AT1G04437	61	69	59	40	42	51
AT1G05850	10885	12517	12191	7439	6493	9895
AT1G05860	215	217	217	180	199	251
AT1G05870	546	557	589	351	340	421
AT1G05880	88	90	74	33	45	125
AT1G05890	1975	2051	1657	1143	1219	1892
