	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT4G18230	185	214	204	192	162	218
AT4G18240	567	699	598	435	416	523
AT4G18250	903	655	620	394	489	848
AT4G18253	469	458	405	249	205	384
AT4G18255	0	0	0	0	0	0
AT4G18260	40	50	34	38	47	45
AT4G18270	76	121	83	81	88	113
AT4G18280	162	213	173	243	160	240
AT4G18290	303	305	238	420	409	797
AT4G18300	259	325	247	184	153	261
AT4G18310	1	0	0	0	0	0
AT4G06765	0	0	0	0	0	0
AT4G18320	0	0	0	0	0	0
AT4G18330	0	2	0	0	3	1
AT4G18335	2	2	1	0	4	1
AT4G18340	81	65	64	330	366	592
AT4G18350	18	76	4	3	0	20
AT4G18360	1435	1209	898	714	736	1312
AT4G18370	261	237	217	114	122	121
AT4G06770	51	43	39	21	26	24
AT4G18372	134	141	121	91	78	103
AT4G06775	36	38	39	28	21	26
AT4G18375	63	77	54	39	31	35
AT4G18380	322	373	297	159	174	248
AT4G18390	553	829	637	343	337	454
AT4G06780	16	13	12	10	8	14
AT4G18395	3	5	2	1	4	3
AT4G18400	97	90	62	56	68	85
AT4G06785	43	42	34	19	38	42
AT4G18422	1	28	17	3	1	3
AT4G06795	11	12	8	9	5	15
AT4G06800	11	12	8	9	5	15
AT4G06805	12	17	9	25	12	13
AT4G06810	12	17	9	25	12	13
AT4G18425	33	88	42	21	17	54
AT4G18430	310	204	163	75	91	211
AT4G18440	385	469	419	495	464	534
AT4G18450	2	0	0	0	0	2
AT4G18470	53	42	46	37	37	61
AT4G18460	91	119	83	87	87	97
AT4G18465	357	454	340	200	210	288
AT4G18480	1683	1986	1900	1664	1557	1734
AT4G18490	24	22	17	12	9	16
AT4G18500	4	2	2	3	0	4
AT4G18501	6	7	8	6	2	5
AT4G06815	1	0	0	1	2	2
AT4G06820	1	0	0	1	1	2
AT4G18510	1	1	1	1	2	1
AT4G18520	101	150	114	89	91	102
AT4G18530	252	347	240	250	211	359
AT4G18540	2	0	1	0	1	0
AT4G18550	67	124	64	49	41	119
AT4G06825	0	0	0	0	0	0
AT4G18570	487	770	703	322	325	351
AT4G18580	324	365	276	192	182	273
AT4G18590	207	233	169	193	177	287
AT4G18593	257	342	250	267	266	356
AT4G18596	274	337	274	225	247	287
AT4G18600	614	808	665	444	520	707
AT4G18610	24	17	27	27	47	59
AT4G06830	0	0	1	0	0	1
AT4G18620	0	0	0	1	0	0
AT4G18630	154	160	125	73	76	67
AT4G18640	107	162	108	95	106	124
AT4G18650	1	0	0	0	0	1
AT4G06835	4	4	2	2	4	6
AT4G18660	0	0	0	0	0	0
AT4G18670	633	809	738	867	683	1114
AT4G18680	0	0	0	0	0	0
AT4G18690	0	0	1	0	2	0
AT4G18692	6	7	4	10	3	8
AT4G18700	2294	2811	2276	2086	2051	3743
AT4G18710	3672	3678	3031	1753	1715	2964
AT4G18720	0	0	0	0	1	0
AT4G18725	0	0	0	0	0	0
AT4G18730	2646	3209	2466	4206	4134	5397
AT4G18740	205	233	235	188	162	268
AT4G18750	48	67	37	33	35	46
AT4G18760	119	160	161	204	200	258
AT4G18770	21	63	34	45	42	33
AT4G18780	213	490	310	328	397	329
AT4G06845	0	0	0	0	0	0
AT4G18790	0	1	1	0	1	1
AT4G18800	443	585	440	559	489	842
AT4G18810	853	1053	965	556	522	730
AT4G18815	0	0	0	0	0	0
AT4G18820	743	1020	895	753	718	1002
AT4G18823	0	1	0	1	0	0
AT4G06850	0	0	0	0	0	0
AT4G18840	108	138	99	65	64	87
AT4G18830	115	134	108	61	54	78
AT4G18860	1	0	0	0	0	0
AT4G18870	4	4	4	3	0	2
AT4G18880	1117	1311	1067	1591	1587	2801
AT4G18890	403	415	383	420	426	717
AT4G06855	0	0	0	0	0	0
AT4G18900	16	5	1	2	38	1
AT4G18905	788	935	757	1346	1465	2073
AT4G18910	411	488	410	238	238	354
AT4G18920	0	1	1	1	0	1
AT4G18930	1641	1546	1378	773	651	1020
AT4G18940	16	4	2	1	4	2
AT4G18950	1511	971	762	617	628	1278
AT4G18960	16	15	14	3	10	10
AT4G18970	789	1009	1014	784	552	868
AT4G06860	3	0	0	0	0	0
AT4G18975	359	428	349	208	191	266
AT4G18980	46	85	43	17	12	37
AT4G18990	53	50	34	38	51	77
AT4G19000	11	12	12	8	5	16
AT4G19003	369	403	330	307	265	396
AT4G19006	915	1151	897	785	749	1183
AT4G19010	220	250	176	210	203	289
AT4G19020	722	910	760	379	464	493
AT4G19030	89	75	29	19	30	30
AT4G19035	0	0	0	0	0	0
AT4G19038	0	0	0	0	0	1
AT4G19040	1111	1370	1077	726	687	1115
AT4G19045	171	220	161	81	64	128
AT4G19050	43	65	55	35	36	39
AT4G19060	203	192	166	154	141	173
AT4G19070	156	166	114	113	116	126
AT4G19080	39	45	42	37	44	62
AT4G06865	8	6	6	5	7	10
AT4G19090	89	114	79	70	122	122
AT4G19095	27	35	23	17	15	22
AT4G19100	109	114	98	98	89	83
AT4G06870	34	37	32	45	36	25
AT4G19110	4453	5288	4124	3627	3893	5188
AT4G19120	988	1168	1059	838	778	1301
AT4G19130	16	29	22	27	29	42
AT4G19140	492	471	388	377	363	570
AT4G19150	340	389	308	360	351	435
AT4G06875	72	85	78	75	67	86
AT4G19160	1192	1238	1093	692	660	872
AT4G19170	161	138	187	84	34	22
AT4G19180	433	491	355	380	346	548
AT4G19185	283	367	258	194	176	317
AT4G19190	653	743	594	655	615	918
AT4G19191	28	33	24	24	22	53
AT4G19200	2618	2174	2106	1607	1604	2412
AT4G19210	2121	2747	1970	2428	2384	4030
AT4G19220	28	31	21	15	14	18
AT4G19230	247	293	203	83	140	192
AT4G19240	0	0	0	0	0	0
AT4G19250	0	0	0	0	0	0
AT4G19260	0	0	0	0	0	0
AT4G19270	0	0	0	0	0	0
AT4G19275	0	0	0	0	0	0
AT4G19330	0	0	0	0	0	0
AT4G19340	0	0	0	0	0	0
AT4G19350	448	496	366	207	251	294
AT4G19360	0	0	0	0	0	0
AT4G19370	402	375	255	122	133	182
AT4G19380	190	150	219	142	104	165
AT4G19390	297	472	290	119	131	134
AT4G19395	4	8	4	11	6	10
AT4G06880	29	31	29	20	21	31
AT4G19400	90	99	64	88	95	105
AT4G19410	2338	2747	2394	2143	2214	2401
AT4G19420	1252	1818	1467	836	837	1000
AT4G06885	0	0	0	0	0	0
AT4G19430	48	54	96	21	25	14
AT4G06890	1	0	0	0	0	0
AT4G19440	177	229	167	309	359	503
AT4G06895	2	3	1	2	2	6
AT4G19450	1262	1444	1164	972	959	1202
AT4G19460	138	159	87	113	154	199
AT4G19470	0	0	0	0	1	0
AT4G19480	0	0	0	0	1	0
AT4G19485	0	0	0	0	1	0
AT4G19490	1741	2102	1587	1389	1317	2275
AT4G19500	767	833	706	518	561	702
AT4G19510	1286	1257	997	792	868	1222
AT4G19520	1720	1264	1168	859	965	2143
AT4G19530	293	255	336	223	176	249
AT4G19540	176	181	147	243	215	299
AT4G19550	70	69	57	156	172	183
AT4G19560	17	13	23	17	11	15
AT4G19570	1	5	2	4	0	2
AT4G19580	0	0	0	0	0	0
AT4G06900	0	0	0	0	0	0
AT4G19590	11	7	7	13	12	11
AT4G19600	552	615	500	579	595	829
AT4G19610	554	701	525	949	955	1394
AT4G19620	1	0	0	0	0	2
AT4G19630	0	0	0	1	0	0
AT4G06905	2	0	0	1	0	0
AT4G19640	2954	3130	2569	1757	1585	2606
AT4G19645	123	144	93	71	53	124
AT4G19650	92	139	122	123	152	197
AT4G19660	588	584	440	480	553	675
AT4G19670	1164	1528	1157	857	746	1116
AT4G19680	0	3	0	0	0	1
AT4G19690	0	0	0	1	1	0
AT4G06910	0	0	0	0	0	0
AT4G06915	0	0	0	0	0	0
AT4G06920	0	0	0	0	0	0
AT4G19700	481	786	537	500	412	517
AT4G19710	785	1064	888	1245	1219	1728
AT4G19720	100	191	76	123	114	146
AT4G19730	1	3	0	0	0	1
AT4G19740	0	0	0	0	1	1
AT4G19750	7	8	12	6	7	3
AT4G19760	8	6	7	8	15	7
AT4G19770	2	0	1	2	0	1
AT4G19800	2	1	0	0	0	0
AT4G19810	565	511	607	375	387	656
AT4G19820	15	20	18	10	14	19
AT4G19830	121	133	112	74	60	88
AT4G19840	2006	1845	1713	1211	1214	1359
AT4G19850	97	117	82	31	23	44
AT4G19860	2484	2878	2224	725	588	931
AT4G19865	57	80	51	78	65	64
AT4G19870	154	156	129	146	134	216
AT4G19880	3655	2471	2948	4279	4442	5350
AT4G19890	79	109	98	65	80	88
AT4G19900	333	434	327	214	221	303
AT4G19905	0	1	0	0	0	0
AT4G19910	0	1	0	0	0	0
AT4G19920	16	17	17	3	6	6
AT4G19925	1	1	5	0	2	2
AT4G06925	0	0	0	0	0	0
AT4G06930	0	0	0	0	0	0
AT4G19930	0	0	0	0	0	0
AT4G19940	0	0	0	0	0	0
AT4G19950	108	103	98	114	114	182
AT4G06935	5	1	2	3	4	12
AT4G19960	572	697	492	541	482	823
AT4G19970	255	139	118	83	98	264
AT4G19975	211	214	224	68	53	96
AT4G19980	2	7	5	11	12	9
AT4G19985	179	149	157	124	97	118
AT4G19990	532	487	398	314	329	482
AT4G20000	840	232	213	333	369	896
AT4G20010	578	677	504	563	634	950
AT4G20020	492	664	481	1107	1185	1412
AT4G20030	136	150	117	93	94	145
AT4G20040	24	30	20	15	8	18
AT4G20050	19	15	13	17	14	12
AT4G20060	195	189	141	101	95	163
AT4G20070	1860	1283	1243	685	719	1226
AT4G20080	0	0	1	0	0	0
AT4G20090	80	126	101	134	113	185
AT4G20095	0	0	1	0	0	0
AT4G20100	0	0	0	0	0	0
AT4G20110	2019	2152	1558	867	646	1550
AT4G20115	0	0	0	0	0	1
AT4G20130	299	376	343	285	289	320
AT4G20140	87	111	99	71	52	100
AT4G20150	2141	2321	1853	1476	1347	2232
AT4G20160	1	1	0	0	2	2
AT4G20170	1015	1768	1342	531	515	752
AT4G06945	10	7	9	8	11	12
AT4G06950	9	6	9	7	10	11
AT4G20190	0	1	3	1	0	1
AT4G20200	0	0	0	0	0	0
AT4G20210	13	23	7	23	36	22
AT4G20220	0	0	0	0	0	0
AT4G20230	22	20	14	11	7	12
AT4G20235	18	20	12	12	9	5
AT4G20240	152	108	104	80	129	120
AT4G20250	0	0	1	0	0	0
AT4G20260	10229	11778	9404	6305	5967	9933
AT4G06955	3	0	0	0	3	4
AT4G06960	0	0	0	0	0	0
AT4G20270	931	968	830	789	876	1060
AT4G20280	545	596	457	399	385	532
AT4G20290	28	32	17	19	5	24
AT4G20300	909	1057	920	663	585	944
AT4G20310	142	167	170	144	113	139
AT4G20320	313	328	232	245	311	255
AT4G20325	125	121	115	80	103	121
AT4G20330	1088	1186	939	724	690	1101
AT4G20340	193	229	181	175	220	263
AT4G20350	54	50	39	36	43	61
AT4G20362	5540	6654	6084	5447	4433	6319
AT4G20360	5530	6647	6080	5446	4425	6312
AT4G20370	44	55	50	52	33	40
AT4G20380	756	749	636	412	449	643
AT4G20390	297	304	269	163	156	289
AT4G20400	995	1230	959	809	817	1169
AT4G20410	942	1129	902	448	340	599
AT4G20430	226	244	229	153	179	186
AT4G20420	24	17	22	18	17	16
AT4G20440	893	1103	882	1613	1630	2245
AT4G20450	3	7	5	3	9	1
AT4G20460	242	201	123	162	134	239
AT4G20470	15	26	17	9	5	18
AT4G20480	1147	1316	1021	1185	1264	1676
AT4G20520	0	0	0	0	0	0
AT4G20530	0	0	0	0	0	0
AT4G20535	0	0	0	0	0	0
AT4G20540	0	0	0	0	0	0
AT4G20545	0	0	0	0	0	0
AT4G20550	0	0	0	0	0	0
AT4G20555	0	0	0	0	0	0
AT4G20560	0	0	0	0	0	0
AT4G20565	0	0	0	0	0	0
AT4G20570	0	0	0	0	0	0
AT4G20575	0	0	0	0	0	0
AT4G20580	0	0	0	0	0	0
AT4G20590	0	0	0	0	0	0
AT4G20600	0	0	0	0	0	0
AT4G20610	0	0	0	0	0	0
AT4G20620	0	0	0	0	0	0
AT4G20630	0	0	0	0	0	0
AT4G20640	0	0	0	0	0	0
AT4G20645	0	0	0	0	0	0
AT4G20650	0	0	0	0	0	0
AT4G20670	0	0	0	0	0	0
AT4G20680	0	0	0	0	0	0
AT4G20690	40	47	34	63	66	71
AT4G20700	13	18	11	19	27	33
AT4G20703	0	0	0	0	0	0
AT4G20707	1	0	0	0	0	0
AT4G20720	1241	1355	1134	721	786	1157
AT4G06965	0	0	0	0	0	0
AT4G20735	0	0	0	0	0	0
AT4G20740	110	151	109	128	119	162
AT4G20760	206	315	249	153	138	151
AT4G20770	14	22	10	15	6	15
AT4G20780	489	442	421	325	337	478
AT4G20790	0	0	0	0	0	0
AT4G20800	0	0	0	0	0	0
AT4G20810	0	0	0	0	0	0
AT4G20820	17	7	9	2	12	17
AT4G20830	9449	5002	3619	5039	5897	11352
AT4G20835	6732	3662	2618	3506	3983	8050
AT4G20840	141	178	126	98	99	129
AT4G20850	7069	7189	5522	3580	3283	6305
AT4G20860	7803	3259	2541	2405	2234	6229
AT4G20870	266	259	254	192	180	186
AT4G20880	302	420	392	256	256	441
AT4G20890	1753	2265	1773	1924	1688	2544
AT4G20900	2	2	1	1	1	2
AT4G20910	203	238	226	217	211	235
AT4G20920	9	14	13	10	11	10
AT4G20930	309	369	252	146	166	211
AT4G20935	5	7	7	11	7	15
AT4G20940	179	253	184	268	288	377
AT4G06970	0	0	0	0	0	1
AT4G20947	0	0	0	0	0	0
AT4G06975	0	0	0	2	4	2
AT4G20953	52	43	42	88	113	127
AT4G20960	462	572	463	454	464	601
AT4G20970	5	6	10	1	4	1
AT4G20980	1778	2247	1667	3110	2924	4614
AT4G20990	7	3	4	0	8	7
AT4G21000	0	0	0	0	0	0
AT4G21010	0	0	0	0	0	0
AT4G21020	1	0	5	2	4	1
AT4G21030	0	0	0	0	0	0
AT4G21040	0	0	0	0	0	0
AT4G21050	0	0	0	0	0	0
AT4G21060	146	160	137	95	100	131
AT4G21063	18	25	20	15	20	22
AT4G06980	19	25	18	12	21	25
AT4G21065	21	33	24	29	37	44
AT4G21070	74	105	113	75	57	59
AT4G21080	0	0	0	0	0	1
AT4G21090	204	242	203	319	290	427
AT4G21100	606	854	610	828	825	1247
AT4G21105	3422	3665	2697	2826	2533	3921
AT4G21110	873	909	805	812	740	1034
AT4G21120	1945	2042	1142	374	346	942
AT4G21130	0	0	0	0	1	0
AT4G21140	166	250	199	353	384	498
AT4G21150	2285	3134	2130	2583	2197	3729
AT4G21160	1100	1108	858	767	710	1247
AT4G21170	78	84	44	99	94	105
AT4G21180	649	742	593	643	516	764
AT4G06985	229	249	216	276	225	272
AT4G21190	115	169	100	145	176	182
AT4G21192	271	282	213	173	151	244
AT4G21200	43	48	64	3	2	2
AT4G21210	1099	1356	1258	977	853	1010
AT4G21213	0	1	0	0	0	1
AT4G21215	373	466	299	146	127	250
AT4G21220	47	65	48	31	30	39
AT4G21230	232	143	139	40	50	89
AT4G21240	0	0	0	0	0	0
AT4G21250	1	2	2	1	0	3
AT4G21260	0	0	0	0	0	0
AT4G21270	107	98	120	76	85	83
AT4G21280	3009	2538	3467	2193	1574	1760
AT4G21300	70	89	60	102	103	125
AT4G06990	9	19	8	21	19	14
AT4G21310	58	80	74	94	106	117
AT4G06995	41	52	44	66	74	85
AT4G21320	26	37	28	29	18	21
AT4G21323	16	20	20	9	12	11
AT4G21326	252	321	235	202	221	236
AT4G21330	0	0	0	0	0	0
AT4G21340	4	4	1	2	0	2
AT4G21350	311	328	300	168	144	260
AT4G07000	0	0	0	0	0	0
AT4G07005	0	0	0	0	0	0
AT4G21362	0	0	0	0	0	0
AT4G21366	0	0	0	0	0	0
AT4G21380	1789	1693	1108	899	789	1534
AT4G21390	635	348	260	361	452	761
AT4G21400	866	793	592	651	1018	1315
AT4G21410	2120	1593	1272	2237	3132	4439
AT4G21430	241	301	256	258	261	315
AT4G21440	1	2	2	4	0	0
AT4G21445	46	31	41	31	22	24
AT4G21450	2450	2439	2030	1244	1126	1720
AT4G21460	322	393	322	252	273	291
AT4G21470	833	995	737	443	393	597
AT4G21480	49	42	59	28	32	32
AT4G21490	5	6	6	9	5	9
AT4G07010	0	0	0	0	0	0
AT4G21500	46	38	27	28	40	63
AT4G07015	0	1	0	0	1	4
AT4G21510	121	117	112	121	146	159
AT4G21515	12	13	15	12	11	16
AT4G21520	156	160	148	157	165	176
AT4G21530	139	158	129	125	154	200
AT4G21534	737	767	592	356	385	618
AT4G21540	781	813	679	511	498	714
AT4G21550	66	94	53	41	65	64
AT4G07020	0	0	1	0	1	0
AT4G21560	633	715	503	440	386	733
AT4G21570	1001	1228	937	1019	856	1254
AT4G21580	2823	3087	2183	1492	1263	2292
AT4G21585	104	130	101	68	61	94
AT4G21590	25	30	20	25	39	32
AT4G21595	0	0	0	0	0	0
AT4G21600	65	54	51	44	48	61
AT4G21610	126	132	97	127	110	189
AT4G21620	978	805	802	713	597	957
AT4G21630	0	0	0	3	0	0
AT4G21640	8	8	15	13	5	6
AT4G21650	178	329	321	202	143	126
AT4G21660	2843	3315	2568	2673	2688	3943
AT4G21670	1129	1484	1064	1446	1330	2255
AT4G21680	2843	1990	1543	1609	1969	3251
AT4G07025	0	0	0	0	0	0
AT4G21690	0	2	1	1	2	2
AT4G21700	206	272	222	181	189	345
AT4G21705	168	194	165	136	128	189
AT4G21710	2409	3077	2242	1581	1676	2495
AT4G21720	90	96	76	67	84	92
AT4G21740	185	254	232	160	136	213
AT4G21745	1	3	0	1	0	0
AT4G21750	1350	1307	1534	1201	1197	1771
AT4G21760	120	217	188	189	257	231
AT4G21770	186	262	232	301	359	348
AT4G21780	9	13	6	3	8	9
AT4G21790	1432	1624	1413	1359	1225	2050
AT4G21800	1021	1377	994	888	772	1125
AT4G21810	811	959	790	469	408	638
AT4G07030	125	148	124	55	51	75
AT4G21820	59	64	63	45	55	59
AT4G21830	302	231	187	77	103	172
AT4G21840	907	632	548	208	227	469
AT4G21850	2295	1591	1621	685	801	1467
AT4G21860	1174	1243	1189	788	736	858
AT4G21865	80	65	51	58	63	102
AT4G21870	374	199	255	295	317	322
AT4G21880	73	90	69	122	117	130
AT4G21890	213	328	251	124	133	134
AT4G21895	0	0	1	0	0	0
AT4G21900	162	208	155	286	280	357
AT4G21902	0	1	0	0	0	0
AT4G21903	379	441	461	227	183	336
AT4G21910	1221	1647	1348	673	612	939
AT4G21920	11	21	19	16	11	19
AT4G21926	42	106	87	43	24	26
AT4G21930	64	171	161	71	39	42
AT4G21940	181	242	214	118	113	189
AT4G21950	7	11	6	1	2	7
AT4G21960	103812	134137	126842	67888	56004	77477
AT4G21970	0	2	1	2	1	1
AT4G21980	2515	2817	1982	726	751	1391
AT4G21990	6180	5431	7408	19619	18501	22159
AT4G22000	625	754	567	660	674	881
AT4G22010	495	640	662	774	601	841
AT4G22030	18	11	5	8	10	31
AT4G22035	0	0	0	0	0	0
AT4G22050	0	0	0	2	2	2
AT4G07040	0	0	0	0	0	0
AT4G22060	0	0	0	0	0	0
AT4G22070	61	15	20	6	9	34
AT4G07050	0	0	0	0	0	0
AT4G07045	0	0	0	0	0	0
AT4G22080	5	1	1	2	1	5
AT4G22090	0	0	0	0	0	0
AT4G22100	2	2	0	0	0	0
AT4G22105	2	3	3	0	0	3
AT4G22110	16	9	18	9	5	5
AT4G22115	0	0	0	0	0	0
AT4G22120	678	857	690	400	433	556
AT4G22130	1146	1444	1228	786	747	1094
AT4G22140	522	615	521	542	492	650
AT4G22150	654	724	631	740	655	929
AT4G22160	187	177	159	99	103	130
AT4G22165	0	0	0	0	0	0
AT4G22170	0	2	0	0	1	0
AT4G22180	0	0	0	0	0	0
AT4G22190	757	809	752	575	515	626
AT4G22200	88	84	107	64	57	58
AT4G22210	0	0	0	0	0	0
AT4G22212	36	12	16	10	26	13
AT4G22214	1	0	2	0	2	1
AT4G07055	0	0	0	0	0	0
AT4G07060	0	0	0	0	0	0
AT4G22217	1	2	0	0	0	0
AT4G22220	3316	3697	3237	2634	2368	3492
AT4G22230	4	5	2	2	4	1
AT4G22233	11	5	4	2	10	8
AT4G22235	10	5	4	2	10	8
AT4G22240	7560	9296	6777	4517	4239	5498
AT4G22250	75	53	52	41	32	24
AT4G22260	935	1140	916	668	620	937
AT4G22270	145	181	141	88	61	101
AT4G22265	2	2	1	0	0	0
AT4G22280	123	148	100	121	132	204
AT4G07065	78	101	66	75	78	139
AT4G22285	1126	1482	1083	1348	1332	1960
AT4G22290	434	573	465	226	248	307
AT4G22300	335	385	287	221	218	306
AT4G22305	439	545	427	316	309	413
AT4G22310	2359	2407	1921	1671	1552	2215
AT4G22320	260	250	249	285	306	420
AT4G07070	3	4	5	5	5	4
AT4G07075	1	4	4	3	2	2
AT4G07080	1	3	4	3	2	2
AT4G22330	1154	1252	1036	998	935	1646
AT4G22340	533	583	499	155	161	248
AT4G22350	484	637	479	692	690	1008
AT4G22360	479	563	443	381	350	428
AT4G22370	4	12	2	7	7	3
AT4G07085	2	3	0	0	1	0
AT4G22380	481	555	423	931	946	1214
AT4G22390	38	47	35	27	26	42
AT4G22400	0	0	0	0	0	0
AT4G22410	367	504	316	527	470	677
AT4G22430	0	0	0	0	0	0
AT4G22440	0	1	0	0	0	0
AT4G22460	14	9	7	8	8	7
AT4G22463	14	9	7	8	8	7
AT4G22467	4347	1409	754	937	852	2824
AT4G22470	4614	1490	796	989	888	2962
AT4G22475	7930	6855	7789	9606	7742	13869
AT4G22485	7978	6903	7831	9728	7859	14009
AT4G22490	2787	2868	2384	4315	4223	4523
AT4G22495	7281	7775	7460	10893	9304	13400
AT4G22505	7329	7820	7502	10952	9348	13460
AT4G22510	2025	1025	1152	1529	1443	1765
AT4G22513	1451	707	770	1052	924	1237
AT4G22517	2486	1461	1619	1908	1826	2364
AT4G22530	1954	1187	1151	1491	1652	2102
AT4G22520	321	195	231	335	323	377
AT4G22540	746	936	884	496	443	608
AT4G22550	124	118	116	93	99	118
AT4G22560	49	65	63	75	53	66
AT4G22570	241	294	294	441	440	454
AT4G22580	524	737	576	380	336	574
AT4G07090	0	0	0	0	0	0
AT4G22590	313	446	342	277	267	476
AT4G22600	0	0	0	0	0	0
AT4G22610	9	3	10	0	2	6
AT4G22620	0	0	1	1	6	2
AT4G22630	0	0	0	1	0	0
AT4G22635	0	0	0	0	0	0
AT4G22640	26	16	24	5	5	10
AT4G22650	0	0	0	1	0	0
AT4G22660	0	0	0	0	0	0
AT4G22666	7	14	3	5	8	6
AT4G22670	2547	3509	2938	3385	2823	3770
AT4G22680	42	26	22	8	8	18
AT4G22690	18853	18396	18814	9322	9312	14929
AT4G22700	0	0	0	0	0	0
AT4G22710	7852	7534	7803	4107	4484	7012
AT4G22720	499	552	458	534	517	713
AT4G22730	166	263	231	145	149	204
AT4G07095	64	95	102	57	50	87
AT4G22740	1156	1315	1235	820	898	1080
AT4G22745	226	312	227	171	197	235
AT4G22750	999	1066	894	535	512	747
AT4G22755	31	34	31	22	20	17
AT4G22754	0	0	0	0	0	0
AT4G22756	200	272	248	128	109	173
AT4G22758	75	75	55	42	56	79
AT4G22760	39	46	38	44	72	60
AT4G07100	1	0	1	0	0	2
AT4G22770	283	388	373	150	174	196
AT4G22780	608	822	592	369	442	574
AT4G22790	67	70	66	63	63	71
AT4G22810	28	17	9	9	14	10
AT4G07105	0	0	0	0	0	0
AT4G22820	960	951	796	641	603	1112
AT4G22830	115	124	107	76	94	89
AT4G22840	721	919	611	236	174	362
AT4G22850	95	142	112	85	72	112
AT4G22860	41	24	45	25	32	28
AT4G22870	6	19	12	9	10	19
AT4G22880	1470	3511	2102	1027	1033	1372
AT4G22890	1291	1452	1480	755	629	830
AT4G22900	10	13	11	11	12	8
AT4G22910	207	237	215	186	156	219
AT4G22920	2499	3216	2146	460	400	766
AT4G22930	544	739	565	551	530	740
AT4G22940	27	32	28	10	17	29
AT4G22950	7	8	5	2	6	3
AT4G22960	26	21	17	10	16	15
AT4G22970	255	215	176	300	368	441
AT4G22980	362	257	164	368	467	770
AT4G22990	55	86	53	57	56	50
AT4G23000	64	93	58	32	34	37
AT4G23010	5672	5184	4001	3088	2993	5915
AT4G23015	1751	1389	1241	1067	1171	1720
AT4G23020	76	121	132	47	27	53
AT4G23030	229	184	157	67	50	117
AT4G23040	280	321	271	255	248	361
AT4G23050	994	1109	876	734	674	1008
AT4G07110	0	0	0	0	0	0
AT4G23060	904	1080	925	681	957	1082
AT4G23070	1	0	0	1	4	8
AT4G23080	0	0	0	0	0	0
AT4G23090	0	0	0	0	0	0
AT4G23100	9773	9612	7797	6233	5702	10091
AT4G23110	0	0	0	1	0	0
AT4G23120	0	0	0	1	0	0
AT4G23130	965	987	778	239	251	376
AT4G23140	2512	3384	2780	703	531	1183
AT4G23150	864	925	769	304	199	552
AT4G23160	964	1330	1019	302	251	471
AT4G23170	985	934	662	851	626	1281
AT4G23180	1764	1857	1581	1248	1454	1954
AT4G23190	2031	1137	1034	685	910	1635
AT4G23205	12	6	6	4	9	7
AT4G23200	711	961	617	254	186	454
AT4G23210	860	325	335	127	87	307
AT4G23220	994	1022	720	398	319	743
AT4G23230	545	569	383	222	216	358
AT4G23240	73	67	54	46	35	37
AT4G23250	1291	1619	1308	1259	1272	1923
AT4G23260	2697	1923	1705	1456	1344	2936
AT4G23270	2097	1691	1319	768	814	1642
AT4G23271	32	10	11	17	13	31
AT4G23280	395	129	142	60	42	212
AT4G23290	783	458	430	217	155	406
AT4G23300	1205	851	736	398	253	707
AT4G23310	119	99	87	66	39	106
AT4G23320	253	224	144	48	45	63
AT4G23330	264	309	271	215	207	225
AT4G23340	11	17	19	3	9	4
AT4G23350	0	0	4	0	0	0
AT4G23355	0	0	0	0	0	0
AT4G23360	0	0	1	0	0	0
AT4G23365	0	0	0	0	0	0
AT4G23370	0	1	0	0	0	0
AT4G23373	0	0	0	0	0	0
AT4G23375	0	0	0	0	0	0
AT4G23380	0	0	0	0	0	0
AT4G23387	0	0	0	0	0	0
AT4G23390	0	0	0	0	0	0
AT4G07115	0	0	0	0	0	0
AT4G23400	1955	2019	1745	746	495	845
AT4G23410	50	39	26	43	55	37
AT4G23420	69	121	57	35	57	55
AT4G07120	12	11	3	13	5	3
AT4G23430	836	1075	884	538	551	748
AT4G23440	271	301	248	259	242	402
AT4G23450	136	148	99	49	61	110
AT4G23460	2726	3027	2304	2038	1902	3403
AT4G23470	5064	4792	3916	3670	3327	6306
AT4G23490	224	376	260	160	135	188
AT4G23493	31	35	30	10	10	9
AT4G23496	10	20	11	4	11	0
AT4G07125	0	0	0	0	0	0
AT4G23500	218	337	304	167	130	176
AT4G23510	122	164	70	75	132	167
AT4G23515	4	5	2	4	15	4
AT4G23520	0	0	0	0	0	0
AT4G23530	501	566	470	531	547	786
AT4G07130	178	206	165	120	96	198
AT4G23540	604	804	567	1197	1333	2025
AT4G23550	319	184	142	173	227	290
AT4G23560	10	6	2	3	2	10
AT4G07135	1	2	7	2	4	4
AT4G07145	1	2	7	2	4	3
AT4G23570	2541	2256	2165	1733	1426	2156
AT4G23580	0	0	0	0	1	0
AT4G07150	0	0	0	0	0	0
AT4G07160	0	0	0	0	0	0
AT4G23590	0	0	0	16	21	20
AT4G23600	222	358	250	108	113	138
AT4G23610	302	239	220	104	110	200
AT4G07165	231	188	171	72	81	150
AT4G23620	354	403	336	320	360	516
AT4G23630	6597	9039	7078	5417	4818	7610
AT4G23635	0	0	0	0	0	0
AT4G23640	1153	1403	1059	871	830	1429
AT4G23650	4115	4453	3987	3132	2856	4344
AT4G23660	201	255	187	130	140	179
